id_projeto,nome_projeto,pre_projeto_em,projetado_por,tem_automacao,tem_rede,tem_audio,tem_video_projecao,tem_camera,tem_fechadura_dig,proposta_em,visitas_tecnicas,status_projeto
15,Ilumina Soluções,2024-04-06 20:30:00,"Samuel Araujo Pereira",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,2024-04-06 20:30:00,10,EM_ESPERA
94,EducaMais,2024-04-06 20:00:00,"Vitór Gomes Castro",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,2024-04-06 20:00:00,13,CONCLUIDO
46,BrasilBio,2023-12-15 14:20:00,"João Fernandes Lima",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2023-12-15 14:20:00,3,CONCLUIDO
18,Conexão Azul,2022-09-25 10:45:00,"Nicole Fernandes Silva",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2022-09-25 10:45:00,15,EM_ANDAMENTO
25,InovaTech,2022-11-10 16:35:00,"Leonardo Silva Costa",FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,2022-11-10 16:35:00,0,EM_ANDAMENTO
71,Expresso Saúde,2023-01-05 9:15:00,"Isabela Alves Almeida",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,2023-01-05 9:15:00,9,EM_ANDAMENTO
52,Bio Energia,2023-03-22 18:40:00,"Gabriel Melo Santos",FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,2023-03-22 18:40:00,2,CONCLUIDO
69,EcoFashion,2023-05-07 13:00:00,"Cauã Ribeiro Dias",FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,2023-05-07 13:00:00,0,EM_ANDAMENTO
87,AquaPiscinas,2023-07-29 21:55:00,"Alice Costa Rocha",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,2023-07-29 21:55:00,1,EM_ESPERA
62,VivaBem,2023-02-12 7:30:00,"Marcos Araujo Sousa",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,2023-02-12 7:30:00,11,CONCLUIDO
42,Turbo Logística,2023-11-18 11:25:00,"Vitória Oliveira Costa",FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,2023-11-18 11:25:00,16,CONCLUIDO
96,Sabor Culinário,2023-12-30 15:10:00,"Carla Lima Cunha",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2023-12-30 15:10:00,0,EM_ANDAMENTO
81,Arte Viva,2022-04-10 8:50:00,"Nicole Barros Santos",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,2022-04-10 8:50:00,0,CONCLUIDO
55,Soluções Digitais,2022-06-20 17:25:00,"Marcos Ribeiro Almeida",TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,2022-06-20 17:25:00,6,EM_ANDAMENTO
65,MixCriativo,2022-08-07 12:15:00,"Beatrice Ribeiro Barbosa",FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,2022-08-07 12:15:00,8,CONCLUIDO
23,GreenWay,2022-10-15 20:30:00,"Aline Cunha Castro",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2022-10-15 20:30:00,7,CONCLUIDO
68,Leve Vida,2023-02-28 9:55:00,"Vitór Almeida Correia",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,2023-02-28 9:55:00,1,CONCLUIDO
18,Saúde 360,2023-04-18 14:40:00,"Leonor Lima Sousa",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2023-04-18 14:40:00,25,EM_ANDAMENTO
49,Up Engenharia ,2023-06-10 11:20:00,Sofia Melo Gomes,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2023-06-10 11:20:00,0,EM_ANDAMENTO
16,Aurora,2023-06-30 8:02:15,Pedro Alencar Sousa,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2023-06-30 8:02:15,12,CONCLUIDO
17,Marítimo,2023-08-03 9:30:00,Artemis Maria da Silva,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2023-08-03 9:30:00,5,CONCLUIDO
19,TechVision,2023-08-10 10:00:00,Arthur Barbalho de Oliveira,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2023-08-10 10:00:00,34,EM_ESPERA
20,Skyline,2023-08-10 8:02:15,Arthur Nunes da Silva,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,2023-08-10 8:02:15,23,CONCLUIDO
21,GreenTech,2023-08-12 9:30:00,Carlos André da Silva,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2023-08-12 9:30:00,10,EM_ESPERA
22,DataSphere,2023-08-10 10:33:00,Maria Henela de Alencar,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2023-08-10 10:33:00,3,CONCLUIDO
26,InnovateX,2023-09-01 8:12:15,João Bandeira de Melo,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2023-09-01 8:12:15,5,CONCLUIDO
27,BlueWave,2023-08-10 9:45:00,Maria José Vieira de Melo,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,2023-08-10 9:45:00,7,CONCLUIDO
28,FutureTech,2023-10-12 11:20:00,Carla Dias da Silva,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,2023-10-12 11:20:00,31,CONCLUIDO
29,EcoTech,2023-01-11 8:02:15,Adriana Alencar da Silva,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,2023-01-11 8:02:15,9,CONCLUIDO
30,AlphaTech,2023-11-20 9:33:20,Mariana Pinheiro de Souza,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,2023-11-20 9:33:20,13,CONCLUIDO
31,SmartCity,2023-11-21 10:00:00,Tadeus Marcos de Oliveira,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2023-11-21 10:00:00,2,CONCLUIDO
32,FutureVisions,2023-12-05 8:02:15,Marcos Celso Botelho,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,2023-12-05 8:02:15,4,CONCLUIDO
98,SkyHigh,2024-03-02 9:13:00,Carlos Alberto Vilaça,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,2024-03-02 9:13:00,1,CONCLUIDO
99,DataFusion,2024-04-08 10:22:00,José Carlos Lopes,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,2024-04-08 10:22:00,8,CONCLUIDO
